TimeStamp,Ch4,C2H6,Latitude,Longitude
08/18/2023 02:27:21,2.18583,23.0959,43.0106620789,-84.2406616211
08/18/2023 02:27:22,2.18952,22.6683,43.0107574463,-84.2407989502
08/18/2023 02:27:23,2.18887,22.6944,43.010848999,-84.2409286499
08/18/2023 02:27:24,2.18897,23.0066,43.0109405518,-84.241065979
08/18/2023 02:27:25,2.18418,22.95,43.0110321045,-84.2412033081
08/18/2023 02:27:26,2.18628,22.8176,43.0111198425,-84.2413330078
08/18/2023 02:27:27,2.18446,22.6457,43.0112113953,-84.2414627075
08/18/2023 02:27:28,2.18333,22.3971,43.011302948,-84.2415924072
08/18/2023 02:27:29,2.18493,22.972,43.0113945007,-84.2417221069
08/18/2023 02:27:30,2.18692,22.7444,43.0114822388,-84.2418518066
08/18/2023 02:27:31,2.18465,22.546,43.0115737915,-84.2419815063
08/18/2023 02:27:32,2.1874,22.6334,43.0116615295,-84.2421112061
08/18/2023 02:27:33,2.18549,22.2507,43.0117492676,-84.2422332764
08/18/2023 02:27:34,2.18766,22.733,43.0118370056,-84.2423629761
08/18/2023 02:27:35,2.18348,22.3519,43.0119247437,-84.2424926758
08/18/2023 02:27:36,2.183,22.458,43.0120124817,-84.2426223755
08/18/2023 02:27:37,2.1852,22.7747,43.0121002197,-84.2427444458
08/18/2023 02:27:38,2.18456,22.3935,43.0121841431,-84.2428741455
08/18/2023 02:27:39,2.18329,22.4166,43.0122718811,-84.2430038452
08/18/2023 02:27:40,2.18244,22.3222,43.0123596191,-84.2431259155
08/18/2023 02:27:41,2.18562,22.8916,43.0124473572,-84.2432556152
08/18/2023 02:27:42,2.18041,22.1759,43.0125350952,-84.2433853149
08/18/2023 02:27:43,2.18323,22.6764,43.0126190186,-84.2435073853
08/18/2023 02:27:44,2.18395,22.6738,43.0127029419,-84.2436294556
08/18/2023 02:27:45,2.18453,22.2479,43.0127792358,-84.2437438965
08/18/2023 02:27:46,2.1853,22.4023,43.0128517151,-84.2438583374
08/18/2023 02:27:47,2.18232,22.2273,43.0129241943,-84.2439651489
08/18/2023 02:27:48,2.18167,22.5205,43.0129928589,-84.2440643311
08/18/2023 02:27:49,2.18239,21.9345,43.0130577087,-84.2441635132
08/18/2023 02:27:50,2.18025,21.958,43.0131187439,-84.2442550659
08/18/2023 02:27:51,2.17917,22.0531,43.0131759644,-84.2443466187
08/18/2023 02:27:52,2.18426,22.086,43.0132331848,-84.244430542
08/18/2023 02:27:53,2.18179,21.7456,43.0132827759,-84.2445068359
08/18/2023 02:27:54,2.18272,21.3816,43.0133285522,-84.2445755005
08/18/2023 02:27:55,2.18699,21.3494,43.0133705139,-84.2446289062
08/18/2023 02:27:56,2.18588,21.5653,43.0134086609,-84.2446670532
08/18/2023 02:27:57,2.18024,21.6924,43.0134544373,-84.2446975708
08/18/2023 02:27:58,2.18625,21.2586,43.0135040283,-84.244720459
08/18/2023 02:27:59,2.18269,21.6401,43.0135536194,-84.2447357178
08/18/2023 02:28:00,2.18205,21.6564,43.0136070251,-84.2447433472
08/18/2023 02:28:01,2.17888,21.9541,43.0136680603,-84.2447433472
08/18/2023 02:28:02,2.18728,21.5155,43.0137329102,-84.2447433472
08/18/2023 02:28:03,2.18096,21.8742,43.0138015747,-84.2447509766
08/18/2023 02:28:04,2.18554,22.033,43.0138702393,-84.2447509766
08/18/2023 02:28:05,2.18461,22.0174,43.0139427185,-84.2447509766
08/18/2023 02:28:06,2.18339,21.19,43.0140037537,-84.2447509766
08/18/2023 02:28:07,2.18159,21.6431,43.01404953,-84.2447509766
08/18/2023 02:28:08,2.18265,20.9817,43.0140800476,-84.2447509766
08/18/2023 02:28:09,2.18336,21.975,43.0140991211,-84.2447509766
08/18/2023 02:28:10,2.18435,21.608,43.0141220093,-84.244758606
08/18/2023 02:28:11,2.18224,21.7932,43.0141448975,-84.2447814941
08/18/2023 02:28:12,2.18075,21.4183,43.0141639709,-84.2448196411
